Title,Description,Genre
La Grande Bellezza,Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades but after his 65th birthday and a shock from the past Jep looks past the nightclubs and parties to find a timeless landscape of absurd exquisite beauty.,Comedy Drama
L'Oro Di Napoli,The film is a tribute to Naples where director De Sica spent his first years this is a collection of 6 Neapolitan episodes: a clown exploited by a hoodlum an unfaithful pizza seller (Loren) losing her wedding ring the funeral of a child the impoverished inveterate gambler Count,Comedy Drama
Perfetti Sconosciuti,On the evening of a total eclipse of the moon which is said to make people more emotional seven close friends gather for a dinner party. Early in the meal time one of the friends a relationship therapist named Eva says that she is convinced that many couples would separate,Comedy
Ladri di Biciclette,In post-World War II Rome Antonio Ricci desperately needs work to support his wife Maria his son Bruno and his small baby. He is offered a job posting advertising bills but tells Maria he cannot accept because the job requires a bicycle,Drama
Parthenope,In 1950 the affluent Di Sangro family awaits the birth of their daughter in the waters of Posillipo. The birth is attended by her wealthy godfather Achille Lauro her older brother Raimondo and Sandrino the son of the family's housekeeper. Achille gives her the name Parthenope in honour of the city of Naples..,Family Drama
Rocco e i suoi fratelli,Milan southern immigration family boxing brother rivalry poverty drama Visconti,Drama
I Cento Passi,Sicily mafia Peppino Impastato radio political activism murder courage biography airport,Drama
Call Me by Your Name,Summer Italy 1980s gay love LGBT peach archaeology first love heartbreak,Romantic Drama
È stata la mano di Dio,Naples 1980s Maradona football family tragedy coming of age cinema Sorrentino,Drama
Smetto quando voglio,University researchers unemployed produce legal drugs smart drugs criminal gang comedy action chemistry,Comedy
Lo chiamavano Jeeg Robot,Superhero Rome outskirts radiation criminal Gypsy tormented love sci-fi,Action Drama
Le conseguenze dell'amore,Swiss hotel loneliness accountant mafia insomnia suitcase of money secret love,Drama Crime Thriller
Gomorra,Set in Naples in the 2010s the series follows Ciro Di Marzio a member in the Savastano Camorra clan of Secondigliano headed by Pietro Savastano. When Pietro is arrested an internal power struggle breaks out with his rivals as well as between the old guard of the clan and the young guard headed by his son Gennaro Savastano.,Crime Drama Thriller
La Vita è Bella,Nazi concentration camp Holocaust father and son game tank comedy drama sacrifice Benigni,Drama Comedy
Nuovo Cinema Paradiso,Sicily cinema projectionist childhood nostalgia censored kisses friendship lost love Tornatore,Drama Romance
Suspiria,Suzy Bannion a young American ballet student arrives in Freiburg (West Germany) to study at the co-ed Tanz Akademie a prestigious dance school. She sees another student Pat Hingle flee the school in terror,Horror
Totò Sapore e la magica storia della pizza,In 18th-century Naples Antonio Salvatore Totò Sapore an unemployed minstrel always manages to cheer up the hungry with his songs about good food,italian comedy fantasy